CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F87449,F87465,F87481,F87497,F87513,F87528,F87544,F87560,F87576,F87592,F87608
,,,,,"Age : 16 to 74 years old - Travel to work; Means of : Work mainly at or from home - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Underground; metro; light rail; tram (England and Wales only) - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Train - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Bus; minibus or coach - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Driving a car or van - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Taxi or minicab - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Passenger in a car or van - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Motor cycle; scooter or moped - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Bicycle - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : On foot - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Other - Unit : People"
10264,17UK,"17UK : South Derbyshire",Districts,DIST,3699,13,210,1361,27554,133,2693,541,755,2918,124
10265,18UB,"18UB : East Devon",Districts,DIST,7932,47,945,1354,30163,155,3082,715,1096,6425,596
10266,18UC,"18UC : Exeter",Districts,DIST,4016,53,462,4998,25462,145,3459,876,2304,9661,204
10267,18UD,"18UD : Mid Devon",Districts,DIST,5454,18,128,800,19161,63,1931,426,767,3924,173
10268,18UE,"18UE : North Devon",Districts,DIST,6041,24,106,1217,20805,96,2447,600,1414,6328,234
10269,18UG,"18UG : South Hams",Districts,DIST,5843,38,226,827,21591,93,2008,615,426,4953,387
10270,18UH,"18UH : Teignbridge",Districts,DIST,6828,34,616,1584,33132,116,3359,867,700,5712,281
10271,18UK,"18UK : Torridge",Districts,DIST,4634,9,66,544,14083,73,1740,370,318,3492,195
10272,18UL,"18UL : West Devon",Districts,DIST,3960,24,142,462,12865,68,1213,228,251,2807,190
10273,19UC,"19UC : Christchurch",Districts,DIST,1788,21,273,728,11710,55,950,256,824,1460,82
10274,19UD,"19UD : East Dorset",Districts,DIST,4556,24,195,577,26050,40,1955,536,1025,1938,169
10275,19UE,"19UE : North Dorset",Districts,DIST,4052,35,258,400,16667,79,1469,302,725,4583,155
10276,19UG,"19UG : Purbeck",Districts,DIST,2417,24,334,351,12412,62,1237,329,713,2299,164
10277,19UH,"19UH : West Dorset",Districts,DIST,6110,67,336,685,23103,140,2152,498,1026,5515,281
10278,19UJ,"19UJ : Weymouth and Portland",Districts,DIST,2430,18,240,2306,15670,172,2069,613,946,3601,202
10279,20UB,"20UB : Chester-le-Street",Districts,DIST,1921,43,180,2299,15806,106,2237,186,176,1643,137
10280,20UD,"20UD : Derwentside",Districts,DIST,2916,43,108,3132,21460,432,4042,211,223,3250,196
10281,20UE,"20UE : Durham",Districts,DIST,2870,46,408,3068,21898,76,3499,227,392,4205,234
10282,20UF,"20UF : Easington",Districts,DIST,2305,32,141,2453,19486,383,4203,203,293,3690,237
10283,20UG,"20UG : Sedgefield",Districts,DIST,2661,13,124,2513,22125,145,4234,266,540,3810,184
10284,20UH,"20UH : Teesdale",Districts,DIST,1850,0,47,314,6265,17,754,62,94,1569,92
10285,20UJ,"20UJ : Wear Valley",Districts,DIST,2427,14,62,1546,14650,64,2630,112,162,3011,163
10286,21UC,"21UC : Eastbourne",Districts,DIST,3146,42,1619,2177,20228,263,2422,341,1269,5016,197
10287,21UD,"21UD : Hastings",Districts,DIST,3075,33,1532,1925,19422,338,2959,420,534,5111,148
10288,21UF,"21UF : Lewes",Districts,DIST,4672,40,2511,2266,23357,226,2352,405,679,4461,170
10289,21UG,"21UG : Rother",Districts,DIST,4725,39,1961,610,19585,94,1863,337,477,3537,150
10290,21UH,"21UH : Wealden",Districts,DIST,8893,83,3560,1501,40569,187,3380,497,725,4810,310
10291,22UB,"22UB : Basildon",Districts,DIST,5452,442,12655,3085,41725,707,5140,660,1552,6119,233
10292,22UC,"22UC : Braintree",Districts,DIST,6696,116,5384,1522,39823,249,3892,634,1366,6164,244
10293,22UD,"22UD : Brentwood",Districts,DIST,3197,339,6612,755,17189,198,1420,297,317,2376,107
10294,22UE,"22UE : Castle Point",Districts,DIST,3252,99,5830,1766,24182,183,2241,448,690,2254,86
10295,22UF,"22UF : Chelmsford",Districts,DIST,7178,218,9714,3070,45004,185,4041,772,2820,7003,250
10296,22UG,"22UG : Colchester",Districts,DIST,6880,115,5210,4587,41528,265,4310,827,3227,7652,528
10297,22UH,"22UH : Epping Forest",Districts,DIST,5671,8792,2572,1350,31844,653,2316,735,433,3297,189
10298,22UJ,"22UJ : Harlow",Districts,DIST,2489,812,1643,1956,22734,473,3140,451,1149,3860,115
10299,22UK,"22UK : Maldon",Districts,DIST,3394,52,2111,379,18179,80,1511,234,690,2160,146
10300,22UL,"22UL : Rochford",Districts,DIST,3355,63,5755,1454,22104,138,1845,398,505,2055,116
